creationDate|deletionDate|explicitlyDeleted|PersonId|CommentId
2012-11-12T22:43:30.180+00:00|2013-01-01T00:00:00.000+00:00|false|17592186044461|1168231104920
2011-10-10T07:56:16.214+00:00|2013-01-01T00:00:00.000+00:00|false|13194139533352|687194767770
2012-02-10T23:12:54.970+00:00|2013-01-01T00:00:00.000+00:00|false|2199023255594|824633721249
2012-02-15T17:35:47.190+00:00|2013-01-01T00:00:00.000+00:00|false|13194139533352|824633721249
2012-02-10T12:30:27.346+00:00|2013-01-01T00:00:00.000+00:00|false|17592186044461|824633721249
2012-02-16T13:55:37.584+00:00|2012-02-16T13:55:47.601+00:00|true|26388279066658|824633721249
2012-11-18T09:17:43.677+00:00|2013-01-01T00:00:00.000+00:00|false|2199023255594|1168231104943
2012-11-19T15:05:05.888+00:00|2013-01-01T00:00:00.000+00:00|false|13194139533352|1168231104943
2012-11-17T06:13:23.551+00:00|2013-01-01T00:00:00.000+00:00|false|17592186044461|1168231104943
2012-11-16T01:36:33.953+00:00|2013-01-01T00:00:00.000+00:00|false|26388279066658|1168231104943
2012-08-19T21:38:40.791+00:00|2013-01-01T00:00:00.000+00:00|false|2199023255594|1030792151492
2012-02-14T14:10:35.937+00:00|2013-01-01T00:00:00.000+00:00|false|2199023255594|824633721289
2012-02-16T11:25:57.415+00:00|2013-01-01T00:00:00.000+00:00|false|13194139533352|824633721289
2012-02-10T19:09:15.910+00:00|2013-01-01T00:00:00.000+00:00|false|17592186044461|824633721289
2012-02-12T16:07:49.798+00:00|2013-01-01T00:00:00.000+00:00|false|26388279066658|824633721289
2011-10-08T00:17:04.148+00:00|2013-01-01T00:00:00.000+00:00|false|2199023255594|687194767825
2011-10-14T02:58:29.970+00:00|2013-01-01T00:00:00.000+00:00|false|13194139533352|687194767825
2011-10-13T15:35:09.033+00:00|2013-01-01T00:00:00.000+00:00|false|17592186044461|687194767825
2012-10-20T08:38:27.674+00:00|2013-01-01T00:00:00.000+00:00|false|2199023255557|1099511629585
2012-10-19T09:03:32.557+00:00|2013-01-01T00:00:00.000+00:00|false|24189255811081|1099511629585
2012-10-18T11:14:19.239+00:00|2013-01-01T00:00:00.000+00:00|false|24189255811109|1099511629585
2012-11-29T12:07:37.704+00:00|2013-01-01T00:00:00.000+00:00|false|26388279066641|1168231106600
2012-07-20T16:55:21.142+00:00|2013-01-01T00:00:00.000+00:00|false|28587302322204|1030792153143
2012-11-21T01:00:07.389+00:00|2013-01-01T00:00:00.000+00:00|false|14|1168231106640
2012-07-24T20:52:23.287+00:00|2013-01-01T00:00:00.000+00:00|false|32|1030792153199
2012-07-22T07:02:06.962+00:00|2013-01-01T00:00:00.000+00:00|false|2199023255594|1030792153199
2012-07-25T23:58:33.424+00:00|2013-01-01T00:00:00.000+00:00|false|10995116277761|1030792153199
2012-07-26T03:28:35.399+00:00|2013-01-01T00:00:00.000+00:00|false|19791209299987|1030792153199
2012-07-21T19:32:36.548+00:00|2013-01-01T00:00:00.000+00:00|false|26388279066641|1030792153199
2012-07-23T21:18:16.968+00:00|2013-01-01T00:00:00.000+00:00|false|26388279066658|1030792153199
2012-07-21T20:44:07.102+00:00|2013-01-01T00:00:00.000+00:00|false|28587302322180|1030792153199
2012-07-28T05:52:20.596+00:00|2013-01-01T00:00:00.000+00:00|false|28587302322196|1030792153199
2012-07-25T09:09:05.542+00:00|2013-01-01T00:00:00.000+00:00|false|28587302322204|1030792153199
2012-07-21T23:00:37.456+00:00|2013-01-01T00:00:00.000+00:00|false|10995116277761|1030792153206
2012-09-27T18:56:49.142+00:00|2013-01-01T00:00:00.000+00:00|false|2199023255557|1099511629988
2012-10-01T00:34:48.058+00:00|2013-01-01T00:00:00.000+00:00|false|2199023255573|1099511629988
2012-10-01T06:04:33.857+00:00|2013-01-01T00:00:00.000+00:00|false|8796093022244|1099511629988
